,Santo Antônio,Centro,Macedo,Izabel,Restinga,Canudos,Rui Ramos,Vila Nova,Área Militar,Boa Vista,Joaquim Fonseca Milano,Vera Cruz,Sepé Tiarajú,Ibirapuitã,Oswaldo Aranha,Promorar,Honório Lemes,Airton Senna,Getúlio Vargas,Nova Brasília,Centenário,Tancredo Neves,Capão do Angico,Segabinazi,Santos Dumont,Dr. Romário,Palma,Favila,Saint Pastous,N.S. Conceição Aparecida,Ulisses Guimarães,Balneário Caverá,Projetado,Cidade Alta,Assunção,Medianeira,Praça da Lagoa,Área Militar,Atlântida,Olhos D'água,Piola,Gamino,Renascer,Alberto Grande,Independência,São João,Porto dos Aguateiros,José de Abreu,Anita Garibaldi,Fronteira Oeste,Novo Lar,Lara,Vila Fenix,Inez,Kennedy,Jardim Planalto,Pedreiras,Emílio Zuneda,Canjiqueira,Cel. Enio,Saudade,Liberdade,Prado,Progresso,Vila Grande
Praça da Lagoa,3752,2817,2972,2349,2826,5001,5262,4643,6144,3103,2103,1904,1999,4846,5374,5917,6602,7036,7124,7570,5490,4077,7173,7673,7152,10668,10856,10278,9332,15621,21650,5675,6029,393,789,1520,0,973,2247,3295,2213,2508,3354,1380,1370,1374,1940,3427,3553,1745,2202,651,6494,1032,1534,1860,1919,1257,1273,2396,1126,1612,2518,2359,1939
Área Militar,4581,3646,3801,3178,3655,5830,6091,5472,6973,3932,2932,2733,2828,4728,5256,5799,6484,6918,7006,7452,5372,4906,7055,7555,7034,10550,10738,10160,9214,15503,21532,6487,5911,1222,1618,2332,829,0,3059,2768,1240,1535,2381,2209,2199,2203,2769,2454,3865,2574,3031,1480,7323,1861,2363,2689,2748,2086,2102,3225,1955,2441,3347,3188,2768
Atlântida,6454,5519,5674,5051,5528,7703,7964,7345,8846,5805,4805,4606,4701,7548,8076,8619,9304,9738,9826,10272,8192,6779,9875,10375,9854,13370,13558,12980,12034,18323,24352,8377,8731,3095,3491,4222,2702,3060,0,1048,4300,4595,5441,3208,4072,4076,4642,5514,2145,3573,4008,2738,8458,3082,3621,3947,4006,3959,3975,5098,3213,3699,4605,4446,4641
Olhos D'água,6869,5934,6089,5466,5943,8118,8379,7760,9261,6220,5220,5021,5116,7016,7544,8087,8772,9206,9294,9740,7660,7194,9343,9843,9322,12838,13026,12448,11502,17791,23820,8775,8199,3510,3906,4620,3117,2288,1165,0,3359,3654,4500,2436,4487,4491,5057,4573,1097,2801,2960,3302,7686,2784,3246,3449,3891,4374,4390,5513,3098,3584,4490,4331,4927
Piola,5813,4878,5033,4410,4887,7062,7323,6704,8205,5164,4164,3965,4060,5960,6488,7031,7716,8150,8238,8684,6604,6138,8287,8787,8266,11782,11970,11392,10446,16735,22764,7719,7143,2454,2850,3564,2061,1232,4291,3830,0,295,1141,3441,3431,3435,4001,1214,4927,3806,4263,2712,8555,3093,3595,3921,3980,3318,3334,4457,3187,3673,4579,4420,4000
Gamino,6108,5173,5328,4705,5182,7357,7618,6999,8500,5459,4459,4260,4355,6255,6783,7326,8011,8445,8533,8979,6899,6433,8582,9082,8561,12077,12265,11687,10741,17030,23059,8014,7438,2749,3145,3859,2356,1527,4586,4125,295,0,1436,3736,3726,3730,4296,919,5222,4101,4558,3007,8850,3388,3890,4216,4275,3613,3629,4752,3482,3968,4874,4715,4295
Renascer,6954,6019,6174,5551,6028,8203,8464,7845,9346,6305,5305,5106,5201,7101,7629,8172,8857,9291,9379,9825,7745,7279,9428,9928,9407,12923,13111,12533,11587,17876,23905,8860,8284,3595,3991,4705,3202,2373,5432,4971,1141,1436,0,4582,4572,4576,5142,2355,6068,4947,5404,3853,9696,4234,4736,5062,5121,4459,4475,5598,4328,4814,5720,5561,5141
Alberto Grande,5101,4166,4321,3698,4175,6350,6611,5992,7493,4452,3452,2987,2924,6195,6723,7266,7951,8385,8473,8919,6839,5426,8522,9022,8501,12017,12205,11627,10681,16970,22999,7024,7378,1742,2138,2869,1349,2322,3207,2916,3562,3857,4703,0,2719,2723,3289,4776,2173,365,876,866,5250,348,810,1136,1455,2185,2308,3745,662,1148,2054,1895,2491
Independência,2662,1465,2987,3153,3630,3649,3910,3291,4792,3987,3500,3301,3396,3494,4022,4565,5250,5684,5772,6218,4138,2725,5821,6321,5800,9316,9504,8926,7980,14269,20298,6668,4677,1790,1399,2513,2441,3414,4688,5736,4654,4949,5795,3614,0,534,587,5868,5787,3979,4228,2885,8728,3266,3560,3886,3945,2654,2670,3793,3152,3369,4435,3932,3336
São João,2987,1790,3312,3478,3955,3974,4235,3616,5117,4312,3324,3125,3220,3819,4347,4890,5575,6009,6097,6543,4463,3050,6146,6646,6125,9641,9829,9251,8305,14594,20623,6134,5002,1614,865,1979,1907,2880,4154,5202,4120,4415,5261,3287,531,0,912,5334,5460,3652,4052,2558,8401,2939,3384,3710,3769,2478,2494,3617,2976,3193,4259,3756,3160
Porto dos Aguateiros,2075,878,2400,2566,3043,3062,3323,2704,4205,3400,3086,3704,4044,2907,3435,3978,4663,5097,5185,5631,3551,2138,5234,5734,5213,8729,8917,8339,7393,13682,19711,7320,4090,2438,2051,3165,3093,4066,5340,6388,5306,5601,6447,4262,844,1186,0,6520,6435,4627,4876,3533,9376,3914,4208,4534,4593,3302,3318,4441,3800,4017,5083,4580,3984
José de Abreu,7027,6092,6247,5624,6101,8276,8537,7918,9419,6378,5378,5179,5274,7174,7702,8245,8930,9364,9452,9898,7818,7352,9501,10001,9480,12996,13184,12606,11660,17949,23978,8933,8357,3668,4064,4778,3275,2446,5505,5044,1214,919,2355,4655,4645,4649,5215,0,6141,5020,5477,3926,9769,4307,4809,5135,5194,4532,4548,5671,4401,4887,5793,5634,5214
Anita Garibaldi,7279,6344,6499,5876,6353,8528,8789,8170,9671,6630,5630,5165,5102,8373,8901,9444,10129,10563,10651,11097,9017,7604,10700,11200,10679,14195,14383,13805,12859,19148,25177,9202,9556,3920,4316,5047,3527,4242,3119,1954,5313,5608,6454,2178,4897,4901,5467,6527,0,2543,2702,3044,7428,2526,2988,3191,3633,4363,4486,5923,2840,3326,4232,4073,4669
Fronteira Oeste,5466,4531,4686,4063,4540,6715,6976,6357,7858,4817,3817,3229,3166,6560,7088,7631,8316,8750,8838,9284,7204,5791,8887,9387,8866,12382,12570,11992,11046,17335,23364,7389,7743,2107,2503,3234,1714,2687,3572,3281,3927,4222,5068,365,3084,3088,3654,5141,2538,0,511,1231,5023,713,445,771,1500,2427,2550,3992,904,1390,2099,2137,2733
